id,price,used,engine_displacement,vehicle_year,brand,model,engine,doors,traction_control,power,fuel_type,km,transmission,trim,permalink
0,12500,Usado,1400.0,2015,Chevrolet,Prisma,1.4,4,,-1.0,Nafta,57778.0,Manual,LTZ,https://auto.mercadolibre.com.uy/MLU-480867981-chevrolet-prisma-ltz-2015-gris-oscuro-4-puertas-_JM
1,18290,Usado,1998.0,2011,Volkswagen,Tiguan,2.0,5,4x4,180.0,Nafta,157699.0,Automática,2.0 TURBO FSI 4X4 EXTRA FULL AUTOMÁTICA,https://auto.mercadolibre.com.uy/MLU-480808591-volkswagen-tiguan-20-tfsi-4x4-ex-full-aut-ale-_JM
2,21490,Nuevo,1598.0,2022,Nissan,Versa,1.6,4,Delantera,106.0,Nafta,0.0,Manual,SENSE EXTRA FULL,https://auto.mercadolibre.com.uy/MLU-480791804-nissan-new-versa-sense-extra-full-0km-permuta-financia-_JM
3,13290,Usado,1598.0,2018,Renault,Sandero,1.6,5,Delantera,105.0,Nafta,31310.0,Manual,PRIVILEGE 1.6 EXTRA FULL,https://auto.mercadolibre.com.uy/MLU-480719884-renault-sandero-privilege-extra-full-permuta-financia-_JM
4,14790,Usado,1598.0,2018,Renault,Duster Oroch,1.6,4,,118.0,Nafta,87116.0,Manual,EXPRESSION EXTRA FULL DOBLE CABINA,https://auto.mercadolibre.com.uy/MLU-480692291-renault-oroch-expression-motorlider-permuta-financia-_JM
5,18790,Usado,1998.0,2016,Renault,Fluence,2.0,4,Delantera,143.0,Nafta,78904.0,Automática,DYNAMIQUE 2.0 MT EXTRA FULL,https://auto.mercadolibre.com.uy/MLU-480616374-renault-fluence-dynamique-c-ficha-ofi-permuta-financia-_JM
6,23490,Nuevo,1598.0,2022,Nissan,Versa,1.6,4,Delantera,118.0,Nafta,0.0,Manual,ADVANCE MT EXTRA FULL,https://auto.mercadolibre.com.uy/MLU-480600552-nissan-new-advance-mt-extra-full-permuta-financia-_JM
7,27990,Nuevo,2400.0,2021,Peugeot,Landtrek,2.4,4,,-1.0,Nafta,0.0,Automática,Nafta 4x2,https://auto.mercadolibre.com.uy/MLU-480520396-peugeot-landtrek-nafta-4x2-24-2021-0km-_JM
8,14800,Usado,2393.0,2010,Suzuki,Grand Vitara,2.4,5,4x4,169.0,Nafta,128938.0,Manual,2.4 JLX EXTRA FULL MT 4X4,https://auto.mercadolibre.com.uy/MLU-480366155-suzuki-grand-vitara-24-jlx-extra-full-4x4-mt-_JM
9,32990,Usado,1796.0,2011,Mercedes-Benz,Clase CL,1.8,4,,208.0,Nafta,167500.0,Automática,C250 CGI AVANTGARDE AUTOMÁTICO,https://auto.mercadolibre.com.uy/MLU-480665702-mercedes-benz-c250-avantgarde-aut-18-permuta-financia-_JM
10,26990,Nuevo,1598.0,2022,Nissan,Kicks,1.6,5,4x2,118.0,Nafta,0.0,Manual,SENSE MT EXTRA FULL,https://auto.mercadolibre.com.uy/MLU-480558719-nissan-kicks-sense-mt-extra-full-16-2022-0km-motorlider-_JM
11,28490,Nuevo,1598.0,2022,Nissan,Kicks,1.6,5,Integral,118.0,Nafta,0.0,Manual,ADVANCE MT EXTRA FULL,https://auto.mercadolibre.com.uy/MLU-480534193-nissan-kicks-advance-motorlider-permuta-financia-_JM
12,25990,Nuevo,1598.0,2022,Nissan,Versa,1.6,4,Delantera,106.0,Nafta,0.0,Automática,EXCLUSIVE  EXTRA FULL,https://auto.mercadolibre.com.uy/MLU-480534023-nissan-versa-exclusive-ex-full-at-0km-permuta-financia-_JM
